tourney_name	round	surface	winner_name	loser_name	score	winner_rank	loser_rank	w_ace	w_df	w_1stIn	w_1stWon	w_2ndWon	w_bpSaved	w_bpFaced	l_ace	l_df	l_1stIn	l_1stWon	l_2ndWon	l_bpSaved	l_bpFaced	input_text	target_text	input_text_old
Roland Garros	SF	Clay	Carlos Alcaraz	Jannik Sinner	2-6 6-3 3-6 6-4 6-3	3.0	2.0	8.0	7.0	103.0	68.0	25.0	4.0	10.0	7.0	8.0	76.0	56.0	27.0	8.0	14.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Roland Garros
Round: SF
Surface: Clay

Winner: Carlos Alcaraz (rank 3.0)
Loser: Jannik Sinner (rank 2.0)
Score: 2-6 6-3 3-6 6-4 6-3

Winner stats:
- Aces: 8.0
- Double faults: 7.0
- 1st serve in: 103.0
- 1st serve points won: 68.0
- 2nd serve points won: 25.0
- Break points saved: 4.0 out of 10.0

Loser stats:
- Aces: 7.0
- Double faults: 8.0
- 1st serve in: 76.0
- 1st serve points won: 56.0
- 2nd serve points won: 27.0
- Break points saved: 8.0 out of 14.0"	"Carlos Alcaraz advanced to his first Roland Garros final on Friday when he defeated Italian Jannik Sinner 2-6, 6-3, 3-6, 6-4, 6-3 in a Paris semi-final thriller.
In one of the most anticipated matches of the year, both players struggled to find their best level in the opening two sets. With the match all square at one set all, Alcaraz looked to gain control when Sinner suffered with hand cramp at 2-2 in the third set. The Italian regularly shook out his hand between points and although his service speed dropped in the game, he saved four break points to survive on serve before he received treatment at 3-2.
Sinner came out firing on the resumption to break Alcaraz immediately and held firm on serve to move ahead. Alcaraz refused to surrender in the fourth, though, with both players striking the ball with clean and effortless timing. With little to separate them, the World No. 3 Alcaraz found more quality and intensity in his play at the end of the fourth set to win it and force a decider.
The 21-year-old then produced moments of magic in an absorbing fifth set, breaking Sinner’s serve early with a fierce forehand winner. Alcaraz put his foot down from that moment and refused to let Sinner back in, sealing a mammoth victory on his third match point after four hours and 10 minutes. Alcaraz, who struck 65 winners to Sinner's 39, raised his arms in the air and embraced the roar from the crowd after sealing his win."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Roland Garros
Surface: Clay
Round: SF

Winner: Carlos Alcaraz (Rank: 3.0)
Loser: Jannik Sinner (Rank: 2.0)
Score: 2-6 6-3 3-6 6-4 6-3

Winner stats:
- Aces: 8.0
- Double faults: 7.0
- 1st serve in: 103.0
- 1st serve points won: 68.0
- 2nd serve points won: 25.0
- Break points saved: 4.0 out of 10.0

Loser stats:
- Aces: 7.0
- Double faults: 8.0
- 1st serve in: 76.0
- 1st serve points won: 56.0
- 2nd serve points won: 27.0
- Break points saved: 8.0 out of 14.0"
Australian Open	R16	Hard	Novak Djokovic	Adrian Mannarino	6-0 6-0 6-3	1.0	19.0	17.0	5.0	48.0	39.0	13.0	3.0	3.0	1.0	0.0	34.0	17.0	8.0	4.0	11.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Australian Open
Round: R16
Surface: Hard

Winner: Novak Djokovic (rank 1.0)
Loser: Adrian Mannarino (rank 19.0)
Score: 6-0 6-0 6-3

Winner stats:
- Aces: 17.0
- Double faults: 5.0
- 1st serve in: 48.0
- 1st serve points won: 39.0
- 2nd serve points won: 13.0
- Break points saved: 3.0 out of 3.0

Loser stats:
- Aces: 1.0
- Double faults: 0.0
- 1st serve in: 34.0
- 1st serve points won: 17.0
- 2nd serve points won: 8.0
- Break points saved: 4.0 out of 11.0"	"Novak Djokovic dominated Adrian Mannarino 6-0, 6-0, 6-3 on Sunday to cruise into the Australian Open quarter-finals.
Mannarino is one of the trickiest players on the ATP Tour with his lefty, flat-hitting game. But with three consecutive five-setters in the Frenchman’s legs, World No. 1 Djokovic won the first 13 games of the match en route to his 32nd straight Australian Open victory."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Australian Open
Surface: Hard
Round: R16

Winner: Novak Djokovic (Rank: 1.0)
Loser: Adrian Mannarino (Rank: 19.0)
Score: 6-0 6-0 6-3

Winner stats:
- Aces: 17.0
- Double faults: 5.0
- 1st serve in: 48.0
- 1st serve points won: 39.0
- 2nd serve points won: 13.0
- Break points saved: 3.0 out of 3.0

Loser stats:
- Aces: 1.0
- Double faults: 0.0
- 1st serve in: 34.0
- 1st serve points won: 17.0
- 2nd serve points won: 8.0
- Break points saved: 4.0 out of 11.0"
Us Open	R16	Hard	Jack Draper	Tomas Machac	6-3 6-1 6-2	25.0	39.0	11.0	6.0	37.0	29.0	26.0	6.0	6.0	5.0	7.0	43.0	27.0	12.0	3.0	9.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Us Open
Round: R16
Surface: Hard

Winner: Jack Draper (rank 25.0)
Loser: Tomas Machac (rank 39.0)
Score: 6-3 6-1 6-2

Winner stats:
- Aces: 11.0
- Double faults: 6.0
- 1st serve in: 37.0
- 1st serve points won: 29.0
- 2nd serve points won: 26.0
- Break points saved: 6.0 out of 6.0

Loser stats:
- Aces: 5.0
- Double faults: 7.0
- 1st serve in: 43.0
- 1st serve points won: 27.0
- 2nd serve points won: 12.0
- Break points saved: 3.0 out of 9.0"	"Jack Draper reached his first major quarter-final on Monday at the US Open, where he dispatched Czech Tomas Machac 6-3, 6-1, 6-2 in New York.
The British lefty was in total control from the early stages on Louis Armstrong Stadium, where he played with high intensity and struck 35 winners to become the first British man to advance to the last eight at the hard-court major since former champion Andy Murray in 2016."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Us Open
Surface: Hard
Round: R16

Winner: Jack Draper (Rank: 25.0)
Loser: Tomas Machac (Rank: 39.0)
Score: 6-3 6-1 6-2

Winner stats:
- Aces: 11.0
- Double faults: 6.0
- 1st serve in: 37.0
- 1st serve points won: 29.0
- 2nd serve points won: 26.0
- Break points saved: 6.0 out of 6.0

Loser stats:
- Aces: 5.0
- Double faults: 7.0
- 1st serve in: 43.0
- 1st serve points won: 27.0
- 2nd serve points won: 12.0
- Break points saved: 3.0 out of 9.0"
Roland Garros	R16	Clay	Casper Ruud	Taylor Fritz	7-6(6) 3-6 6-4 6-2	7.0	12.0	11.0	7.0	75.0	52.0	32.0	8.0	12.0	19.0	4.0	91.0	65.0	27.0	21.0	27.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Roland Garros
Round: R16
Surface: Clay

Winner: Casper Ruud (rank 7.0)
Loser: Taylor Fritz (rank 12.0)
Score: 7-6(6) 3-6 6-4 6-2

Winner stats:
- Aces: 11.0
- Double faults: 7.0
- 1st serve in: 75.0
- 1st serve points won: 52.0
- 2nd serve points won: 32.0
- Break points saved: 8.0 out of 12.0

Loser stats:
- Aces: 19.0
- Double faults: 4.0
- 1st serve in: 91.0
- 1st serve points won: 65.0
- 2nd serve points won: 27.0
- Break points saved: 21.0 out of 27.0"	"Casper Ruud advanced to his fourth Grand Slam quarter-final with a battling four-set win against Taylor Fritz on Monday at Roland Garros. Each of the past three times the Norwegian advanced to that stage at a major, he went on to reach the final — including each of the past two years in Paris.
In a 7-6(6), 3-6, 6-4, 6-2 victory, Ruud rallied from 1/5 and saved a set point in the first-set tie-break before battling back from an early break down in the pivotal third set. Though the seventh seed failed to serve out set three, he converted on his fourth break point in the ensuing game to take what proved to be a decisive lead."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Roland Garros
Surface: Clay
Round: R16

Winner: Casper Ruud (Rank: 7.0)
Loser: Taylor Fritz (Rank: 12.0)
Score: 7-6(6) 3-6 6-4 6-2

Winner stats:
- Aces: 11.0
- Double faults: 7.0
- 1st serve in: 75.0
- 1st serve points won: 52.0
- 2nd serve points won: 32.0
- Break points saved: 8.0 out of 12.0

Loser stats:
- Aces: 19.0
- Double faults: 4.0
- 1st serve in: 91.0
- 1st serve points won: 65.0
- 2nd serve points won: 27.0
- Break points saved: 21.0 out of 27.0"
Us Open	QF	Hard	Taylor Fritz	Alexander Zverev	7-6(2) 3-6 6-4 7-6(3)	12.0	4.0	12.0	5.0	81.0	66.0	25.0	2.0	4.0	14.0	4.0	103.0	77.0	20.0	11.0	13.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Us Open
Round: QF
Surface: Hard

Winner: Taylor Fritz (rank 12.0)
Loser: Alexander Zverev (rank 4.0)
Score: 7-6(2) 3-6 6-4 7-6(3)

Winner stats:
- Aces: 12.0
- Double faults: 5.0
- 1st serve in: 81.0
- 1st serve points won: 66.0
- 2nd serve points won: 25.0
- Break points saved: 2.0 out of 4.0

Loser stats:
- Aces: 14.0
- Double faults: 4.0
- 1st serve in: 103.0
- 1st serve points won: 77.0
- 2nd serve points won: 20.0
- Break points saved: 11.0 out of 13.0"	"Taylor Fritz carved out a groundbreaking moment on home soil Tuesday at the US Open.
The 12th-seeded American edged fourth seed Alexander Zverev in an intriguing baseline battle in New York to reach his maiden Grand Slam semi-final. Fritz and Zverev went toe-to-toe from deep for much of their three-hour, 26-minute encounter, but the American’s greater consistency under pressure helped him earn a 7-6(2), 3-6, 6-4, 7-6(3) victory."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Us Open
Surface: Hard
Round: QF

Winner: Taylor Fritz (Rank: 12.0)
Loser: Alexander Zverev (Rank: 4.0)
Score: 7-6(2) 3-6 6-4 7-6(3)

Winner stats:
- Aces: 12.0
- Double faults: 5.0
- 1st serve in: 81.0
- 1st serve points won: 66.0
- 2nd serve points won: 25.0
- Break points saved: 2.0 out of 4.0

Loser stats:
- Aces: 14.0
- Double faults: 4.0
- 1st serve in: 103.0
- 1st serve points won: 77.0
- 2nd serve points won: 20.0
- Break points saved: 11.0 out of 13.0"
Us Open	QF	Hard	Jack Draper	Alex De Minaur	6-3 7-5 6-2	25.0	10.0	11.0	4.0	50.0	42.0	19.0	5.0	7.0	7.0	2.0	48.0	32.0	16.0	14.0	20.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Us Open
Round: QF
Surface: Hard

Winner: Jack Draper (rank 25.0)
Loser: Alex De Minaur (rank 10.0)
Score: 6-3 7-5 6-2

Winner stats:
- Aces: 11.0
- Double faults: 4.0
- 1st serve in: 50.0
- 1st serve points won: 42.0
- 2nd serve points won: 19.0
- Break points saved: 5.0 out of 7.0

Loser stats:
- Aces: 7.0
- Double faults: 2.0
- 1st serve in: 48.0
- 1st serve points won: 32.0
- 2nd serve points won: 16.0
- Break points saved: 14.0 out of 20.0"	The 22-year-old lefty breezed past 10th seed Alex de Minaur 6-3, 7-5, 6-2 on Wednesday evening at the US Open to reach his maiden Grand Slam semi-final. Draper produced a display full of booming serves and heavy, spinning groundstrokes to earn a two-hour, seven-minute victory and book a last-four meeting with World No. 1 Jannik Sinner.	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Us Open
Surface: Hard
Round: QF

Winner: Jack Draper (Rank: 25.0)
Loser: Alex De Minaur (Rank: 10.0)
Score: 6-3 7-5 6-2

Winner stats:
- Aces: 11.0
- Double faults: 4.0
- 1st serve in: 50.0
- 1st serve points won: 42.0
- 2nd serve points won: 19.0
- Break points saved: 5.0 out of 7.0

Loser stats:
- Aces: 7.0
- Double faults: 2.0
- 1st serve in: 48.0
- 1st serve points won: 32.0
- 2nd serve points won: 16.0
- Break points saved: 14.0 out of 20.0"
Wimbledon	R16	Grass	Jannik Sinner	Ben Shelton	6-2 6-4 7-6(9)	1.0	14.0	7.0	0.0	63.0	48.0	19.0	1.0	2.0	15.0	4.0	69.0	48.0	11.0	2.0	6.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Wimbledon
Round: R16
Surface: Grass

Winner: Jannik Sinner (rank 1.0)
Loser: Ben Shelton (rank 14.0)
Score: 6-2 6-4 7-6(9)

Winner stats:
- Aces: 7.0
- Double faults: 0.0
- 1st serve in: 63.0
- 1st serve points won: 48.0
- 2nd serve points won: 19.0
- Break points saved: 1.0 out of 2.0

Loser stats:
- Aces: 15.0
- Double faults: 4.0
- 1st serve in: 69.0
- 1st serve points won: 48.0
- 2nd serve points won: 11.0
- Break points saved: 2.0 out of 6.0"	"Jannik Sinner shook off pre-match injury fears to deliver a statement quarter-final victory against Ben Shelton on Wednesday afternoon at Wimbledon.
The No. 1 player in the PIF ATP Rankings produced a trademark rock-solid display to down Shelton 7-6(2), 6-4, 6-4 and reach the last four at the grass major for the second time. Sinner, who sustained an elbow injury and fell to a two-sets deficit before Grigor Dimitrov retired from the pair’s fourth-round clash, quickly eased any fears of serious damage to his arm by nullifying Shelton’s power across two hours and 19 minutes on No. 1 Court."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Wimbledon
Surface: Grass
Round: R16

Winner: Jannik Sinner (Rank: 1.0)
Loser: Ben Shelton (Rank: 14.0)
Score: 6-2 6-4 7-6(9)

Winner stats:
- Aces: 7.0
- Double faults: 0.0
- 1st serve in: 63.0
- 1st serve points won: 48.0
- 2nd serve points won: 19.0
- Break points saved: 1.0 out of 2.0

Loser stats:
- Aces: 15.0
- Double faults: 4.0
- 1st serve in: 69.0
- 1st serve points won: 48.0
- 2nd serve points won: 11.0
- Break points saved: 2.0 out of 6.0"
Us Open	R16	Hard	Alexander Zverev	Brandon Nakashima	3-6 6-1 6-2 6-2	4.0	50.0	14.0	3.0	56.0	49.0	13.0	0.0	1.0	6.0	2.0	71.0	45.0	18.0	12.0	18.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Us Open
Round: R16
Surface: Hard

Winner: Alexander Zverev (rank 4.0)
Loser: Brandon Nakashima (rank 50.0)
Score: 3-6 6-1 6-2 6-2

Winner stats:
- Aces: 14.0
- Double faults: 3.0
- 1st serve in: 56.0
- 1st serve points won: 49.0
- 2nd serve points won: 13.0
- Break points saved: 0.0 out of 1.0

Loser stats:
- Aces: 6.0
- Double faults: 2.0
- 1st serve in: 71.0
- 1st serve points won: 45.0
- 2nd serve points won: 18.0
- Break points saved: 12.0 out of 18.0"	"Alexander Zverev moved closer to capturing his first major title at the US Open on Sunday when he ended American Brandon Nakashima’s run to reach the quarter-finals in New York for the fourth time.
The German dictated after a slow start on Louis Armstrong Stadium to earn a 3-6, 6-1, 6-2, 6-2 win. With his two-hour, 38-minute triumph, Zverev notched his 450th win."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Us Open
Surface: Hard
Round: R16

Winner: Alexander Zverev (Rank: 4.0)
Loser: Brandon Nakashima (Rank: 50.0)
Score: 3-6 6-1 6-2 6-2

Winner stats:
- Aces: 14.0
- Double faults: 3.0
- 1st serve in: 56.0
- 1st serve points won: 49.0
- 2nd serve points won: 13.0
- Break points saved: 0.0 out of 1.0

Loser stats:
- Aces: 6.0
- Double faults: 2.0
- 1st serve in: 71.0
- 1st serve points won: 45.0
- 2nd serve points won: 18.0
- Break points saved: 12.0 out of 18.0"
Us Open	QF	Hard	Jannik Sinner	Daniil Medvedev	6-2 1-6 6-1 6-4	1.0	5.0	4.0	1.0	51.0	39.0	28.0	6.0	8.0	5.0	6.0	61.0	41.0	20.0	10.0	15.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Us Open
Round: QF
Surface: Hard

Winner: Jannik Sinner (rank 1.0)
Loser: Daniil Medvedev (rank 5.0)
Score: 6-2 1-6 6-1 6-4

Winner stats:
- Aces: 4.0
- Double faults: 1.0
- 1st serve in: 51.0
- 1st serve points won: 39.0
- 2nd serve points won: 28.0
- Break points saved: 6.0 out of 8.0

Loser stats:
- Aces: 5.0
- Double faults: 6.0
- 1st serve in: 61.0
- 1st serve points won: 41.0
- 2nd serve points won: 20.0
- Break points saved: 10.0 out of 15.0"	"Daniil Medvedev was dissatisfied and disheartened by his quarter-final exit at the hands of Jannik Sinner on Wednesday evening at the US Open. Yet in trademark fashion for one of the ATP Tour’s master tacticians, it did not take long for the World No. 5 to form a detailed assessment of his four-set defeat.
“[It’s a] tough loss,” said Medvedev after Sinner’s 6-2, 1-6, 6-1, 6-4 triumph in New York."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Us Open
Surface: Hard
Round: QF

Winner: Jannik Sinner (Rank: 1.0)
Loser: Daniil Medvedev (Rank: 5.0)
Score: 6-2 1-6 6-1 6-4

Winner stats:
- Aces: 4.0
- Double faults: 1.0
- 1st serve in: 51.0
- 1st serve points won: 39.0
- 2nd serve points won: 28.0
- Break points saved: 6.0 out of 8.0

Loser stats:
- Aces: 5.0
- Double faults: 6.0
- 1st serve in: 61.0
- 1st serve points won: 41.0
- 2nd serve points won: 20.0
- Break points saved: 10.0 out of 15.0"
Australian Open	R16	Hard	Daniil Medvedev	Nuno Borges	6-3 7-6(4) 5-7 6-1	3.0	69.0	13.0	11.0	92.0	69.0	24.0	7.0	11.0	5.0	4.0	92.0	60.0	18.0	7.0	13.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Australian Open
Round: R16
Surface: Hard

Winner: Daniil Medvedev (rank 3.0)
Loser: Nuno Borges (rank 69.0)
Score: 6-3 7-6(4) 5-7 6-1

Winner stats:
- Aces: 13.0
- Double faults: 11.0
- 1st serve in: 92.0
- 1st serve points won: 69.0
- 2nd serve points won: 24.0
- Break points saved: 7.0 out of 11.0

Loser stats:
- Aces: 5.0
- Double faults: 4.0
- 1st serve in: 92.0
- 1st serve points won: 60.0
- 2nd serve points won: 18.0
- Break points saved: 7.0 out of 13.0"	Daniil Medvedev is through to the Australian Open quarterfinals after beating Portugal's Nuno Borges 6-3, 7-6 (4), 5-7, 6-1 on Monday. Medvedev had two match points at 5-4 in the third set, but Borges forced a fourth set only to fade away as the Russian player pulled away for the victory.	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Australian Open
Surface: Hard
Round: R16

Winner: Daniil Medvedev (Rank: 3.0)
Loser: Nuno Borges (Rank: 69.0)
Score: 6-3 7-6(4) 5-7 6-1

Winner stats:
- Aces: 13.0
- Double faults: 11.0
- 1st serve in: 92.0
- 1st serve points won: 69.0
- 2nd serve points won: 24.0
- Break points saved: 7.0 out of 11.0

Loser stats:
- Aces: 5.0
- Double faults: 4.0
- 1st serve in: 92.0
- 1st serve points won: 60.0
- 2nd serve points won: 18.0
- Break points saved: 7.0 out of 13.0"
Roland Garros	QF	Clay	Jannik Sinner	Grigor Dimitrov	6-2 6-4 7-6(3)	2.0	10.0	8.0	0.0	53.0	43.0	23.0	1.0	2.0	5.0	5.0	67.0	45.0	17.0	6.0	10.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Roland Garros
Round: QF
Surface: Clay

Winner: Jannik Sinner (rank 2.0)
Loser: Grigor Dimitrov (rank 10.0)
Score: 6-2 6-4 7-6(3)

Winner stats:
- Aces: 8.0
- Double faults: 0.0
- 1st serve in: 53.0
- 1st serve points won: 43.0
- 2nd serve points won: 23.0
- Break points saved: 1.0 out of 2.0

Loser stats:
- Aces: 5.0
- Double faults: 5.0
- 1st serve in: 67.0
- 1st serve points won: 45.0
- 2nd serve points won: 17.0
- Break points saved: 6.0 out of 10.0"	"Jannik Sinner extended his perfect record at majors in 2024 on Tuesday at Roland Garros, where he moved past Grigor Dimitrov 6-2, 6-4, 7-6(3) to reach the semi-finals in Paris for the first time.
The Italian, who captured his maiden major title at the Australian Open in January, looked in control throughout his two-hour, 30-minute win against first-time Roland Garros quarter-finalist Dimitrov.
The 22-year-old hit cleanly, moved freely and played with high intensity, responding after failing to serve out the match at 5-4 to seal victory in the third-set tie-break. Sinner struck 29 winners and broke Dimitrov’s serve four times according to Infosys Stats to improve to 4-1 in the pair’s Lexus ATP Head2Head series"	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Roland Garros
Surface: Clay
Round: QF

Winner: Jannik Sinner (Rank: 2.0)
Loser: Grigor Dimitrov (Rank: 10.0)
Score: 6-2 6-4 7-6(3)

Winner stats:
- Aces: 8.0
- Double faults: 0.0
- 1st serve in: 53.0
- 1st serve points won: 43.0
- 2nd serve points won: 23.0
- Break points saved: 1.0 out of 2.0

Loser stats:
- Aces: 5.0
- Double faults: 5.0
- 1st serve in: 67.0
- 1st serve points won: 45.0
- 2nd serve points won: 17.0
- Break points saved: 6.0 out of 10.0"
Wimbledon	R16	Grass	Alex De Minaur	Arthur Fils	6-2 6-4 4-6 6-3	9.0	34.0	2.0	4.0	60.0	43.0	27.0	9.0	14.0	8.0	7.0	71.0	40.0	23.0	7.0	16.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Wimbledon
Round: R16
Surface: Grass

Winner: Alex De Minaur (rank 9.0)
Loser: Arthur Fils (rank 34.0)
Score: 6-2 6-4 4-6 6-3

Winner stats:
- Aces: 2.0
- Double faults: 4.0
- 1st serve in: 60.0
- 1st serve points won: 43.0
- 2nd serve points won: 27.0
- Break points saved: 9.0 out of 14.0

Loser stats:
- Aces: 8.0
- Double faults: 7.0
- 1st serve in: 71.0
- 1st serve points won: 40.0
- 2nd serve points won: 23.0
- Break points saved: 7.0 out of 16.0"	"Australia's Alex De Minaur reached the Wimbledon quarter-finals for the first time as he beat rising Frenchman Arthur Fils 6-2 6-4 4-6 6-3 on Monday.
The ninth seed looked in control for two sets against the 20-year-old but Fils, bidding to become the youngest Frenchman in the professional era to reach a Grand Slam quarter-final, responded superbly to extend the Court One contest."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Wimbledon
Surface: Grass
Round: R16

Winner: Alex De Minaur (Rank: 9.0)
Loser: Arthur Fils (Rank: 34.0)
Score: 6-2 6-4 4-6 6-3

Winner stats:
- Aces: 2.0
- Double faults: 4.0
- 1st serve in: 60.0
- 1st serve points won: 43.0
- 2nd serve points won: 27.0
- Break points saved: 9.0 out of 14.0

Loser stats:
- Aces: 8.0
- Double faults: 7.0
- 1st serve in: 71.0
- 1st serve points won: 40.0
- 2nd serve points won: 23.0
- Break points saved: 7.0 out of 16.0"
Australian Open	R16	Hard	Jannik Sinner	Karen Khachanov	6-4 7-5 6-3	4.0	15.0	8.0	3.0	52.0	41.0	26.0	9.0	10.0	7.0	0.0	61.0	40.0	14.0	3.0	8.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Australian Open
Round: R16
Surface: Hard

Winner: Jannik Sinner (rank 4.0)
Loser: Karen Khachanov (rank 15.0)
Score: 6-4 7-5 6-3

Winner stats:
- Aces: 8.0
- Double faults: 3.0
- 1st serve in: 52.0
- 1st serve points won: 41.0
- 2nd serve points won: 26.0
- Break points saved: 9.0 out of 10.0

Loser stats:
- Aces: 7.0
- Double faults: 0.0
- 1st serve in: 61.0
- 1st serve points won: 40.0
- 2nd serve points won: 14.0
- Break points saved: 3.0 out of 8.0"	"Jannik Sinner was forced to disconnect cruise control on his Australian Open campaign Sunday, but his gritty straight-sets win over Karen Khachanov only further confirmed that he is a serious title contender at Melbourne Park.
After dropping just nine games in the second and third rounds, Sinner saw his game stress tested by the Olympic silver medallist, who held his own in extended, heavy-hitting side-to-side baseline exchanges with the World No. 4.

After largely clean performances through the first three rounds, Khachanov drew 15 unforced errors from Sinner in the second set alone, but the fourth seed’s ability to defend nine of 10 break points faced throughout the match while converting five of eight proved decisive in the 6-4, 7-5, 6-3 win."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Australian Open
Surface: Hard
Round: R16

Winner: Jannik Sinner (Rank: 4.0)
Loser: Karen Khachanov (Rank: 15.0)
Score: 6-4 7-5 6-3

Winner stats:
- Aces: 8.0
- Double faults: 3.0
- 1st serve in: 52.0
- 1st serve points won: 41.0
- 2nd serve points won: 26.0
- Break points saved: 9.0 out of 10.0

Loser stats:
- Aces: 7.0
- Double faults: 0.0
- 1st serve in: 61.0
- 1st serve points won: 40.0
- 2nd serve points won: 14.0
- Break points saved: 3.0 out of 8.0"
Wimbledon	R16	Grass	Carlos Alcaraz	Ugo Humbert	6-3 6-4 1-6 7-5	3.0	16.0	14.0	6.0	95.0	63.0	17.0	8.0	13.0	10.0	1.0	67.0	45.0	17.0	2.0	8.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Wimbledon
Round: R16
Surface: Grass

Winner: Carlos Alcaraz (rank 3.0)
Loser: Ugo Humbert (rank 16.0)
Score: 6-3 6-4 1-6 7-5

Winner stats:
- Aces: 14.0
- Double faults: 6.0
- 1st serve in: 95.0
- 1st serve points won: 63.0
- 2nd serve points won: 17.0
- Break points saved: 8.0 out of 13.0

Loser stats:
- Aces: 10.0
- Double faults: 1.0
- 1st serve in: 67.0
- 1st serve points won: 45.0
- 2nd serve points won: 17.0
- Break points saved: 2.0 out of 8.0"	"Carlos Alcaraz passed another significant test at Wimbledon on Sunday, where he moved past free-hitting Frenchman Ugo Humbert 6-3, 6-4, 1-6, 7-5 to reach his ninth major quarter-final.
In a hard-fought clash, Humbert outplayed Alcaraz for large periods, but the Spaniard produced trademark moments of magic at crucial times to resist the 16th seed and move to within three wins of successfully defending his Wimbledon title."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Wimbledon
Surface: Grass
Round: R16

Winner: Carlos Alcaraz (Rank: 3.0)
Loser: Ugo Humbert (Rank: 16.0)
Score: 6-3 6-4 1-6 7-5

Winner stats:
- Aces: 14.0
- Double faults: 6.0
- 1st serve in: 95.0
- 1st serve points won: 63.0
- 2nd serve points won: 17.0
- Break points saved: 8.0 out of 13.0

Loser stats:
- Aces: 10.0
- Double faults: 1.0
- 1st serve in: 67.0
- 1st serve points won: 45.0
- 2nd serve points won: 17.0
- Break points saved: 2.0 out of 8.0"
